Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
32,ENSMUSG00000028266.18,1926.423524335788,2.9731426246855697,0.06801882376712362,0.0,0.0,Lmo4,16911.0
33,ENSMUSG00000028268.15,3067.6041103928105,5.1153703553915335,0.121748493267284,0.0,0.0,Gbp3,55932.0
34,ENSMUSG00000028270.13,9856.983319751726,6.220764078380971,0.10968947994936402,0.0,0.0,Gbp2,14469.0
35,ENSMUSG00000028793.16,5693.442029552745,2.171585398950782,0.047833061351881284,0.0,0.0,Rnf19b,75234.0
36,ENSMUSG00000030142.11,10110.695428728814,8.044252001696053,0.11590563635188873,0.0,0.0,Clec4e,56619.0
37,ENSMUSG00000030208.16,9294.445888234968,-3.9940831881790197,0.05105233763336159,0.0,0.0,Emp1,13730.0
38,ENSMUSG00000030220.14,10061.464503583346,1.3707264620387973,0.03219326056960379,0.0,0.0,Arhgdib,11857.0
39,ENSMUSG00000030275.7,4198.747495905693,1.398525162845747,0.03528119144974385,0.0,0.0,Etnk1,75320.0
40,ENSMUSG00000030830.19,1918.50555302609,4.489299018741647,0.11166474432154665,0.0,0.0,Itgal,16408.0
41,ENSMUSG00000032122.16,9048.479010722931,-1.716421446897867,0.04234574644249683,0.0,0.0,Slc37a2,56857.0
42,ENSMUSG00000032788.16,10242.985813638325,-1.9144612488849737,0.04839448124172152,0.0,0.0,Pdxk,216134.0
43,ENSMUSG00000034459.9,10193.757823077007,7.599462606796347,0.1798955132458994,0.0,0.0,Ifit1,15957.0
44,ENSMUSG00000034855.14,4764.2778694454855,8.242595734271385,0.20516403109029754,0.0,0.0,Cxcl10,15945.0
45,ENSMUSG00000035004.4,5793.392550776728,2.1438361826705004,0.05054087295990514,0.0,0.0,Igsf6,80719.0
46,ENSMUSG00000035042.3,40681.4504607662,9.413236930026523,0.20580739915412227,0.0,0.0,Ccl5,20304.0
47,ENSMUSG00000035561.6,1462.8218080804675,2.5212076446222977,0.06547374711033492,0.0,0.0,Aldh1b1,72535.0
48,ENSMUSG00000035929.12,5006.053312314565,3.844917626087014,0.059224640353853254,0.0,0.0,H2-Q4,15015.0
49,ENSMUSG00000036067.13,1084.1839949910448,5.20782282534465,0.10060967639868386,0.0,0.0,Slc2a6,227659.0
50,ENSMUSG00000036469.17,4543.002936505967,2.8644447619213516,0.04404779339152136,0.0,0.0,Marchf1,72925.0
51,ENSMUSG00000037405.9,3811.680060832728,3.2020628828405293,0.060859729512480004,0.0,0.0,Icam1,15894.0
52,ENSMUSG00000037997.13,1441.8924349031302,3.0690245771057634,0.07072781147064026,0.0,0.0,Parp11,101187.0
53,ENSMUSG00000038179.14,10338.95198256281,3.2294690556145405,0.06223073654452583,0.0,0.0,Slamf7,75345.0
54,ENSMUSG00000039206.14,3935.1224778795386,-2.090787792375775,0.05229818606640068,0.0,0.0,Daglb,231871.0
55,ENSMUSG00000039899.6,12395.32246233201,6.515134960369937,0.06968129183430039,0.0,0.0,Fgl2,14190.0
56,ENSMUSG00000040026.9,126607.43429187477,9.595289797669162,0.21184423587112985,0.0,0.0,Saa3,20210.0
57,ENSMUSG00000044350.15,4349.141223096129,2.3577607269170664,0.0427084461763298,0.0,0.0,Lacc1,210808.0
58,ENSMUSG00000045551.8,1144.869718653706,7.34039589596297,0.1841978442073295,0.0,0.0,Fpr1,14293.0
59,ENSMUSG00000046718.9,10739.261671955563,4.14581997063223,0.09675846300288096,0.0,0.0,Bst2,69550.0
60,ENSMUSG00000049037.9,6086.898167018663,3.1005099655614745,0.07366279635758619,0.0,0.0,Clec4a1,269799.0
61,ENSMUSG00000052270.8,1550.3701079453274,6.990656664343265,0.13674828752676244,0.0,0.0,Fpr2,14289.0
62,ENSMUSG00000054203.8,5340.797644684227,8.623478118910372,0.20005840219602877,0.0,0.0,Ifi205,226695.0
63,ENSMUSG00000056116.19,7915.383460190227,4.384279043305568,0.05307565955054881,0.0,0.0,H2-T22,15039.0
64,ENSMUSG00000058818.14,20547.7675922963,1.977027020577804,0.035653523452121916,0.0,0.0,Pirb,18733.0
65,ENSMUSG00000060550.17,2308.968344204563,6.097145933855167,0.1284099233663386,0.0,0.0,H2-Q7,15018.0
66,ENSMUSG00000060802.9,57545.74568631933,2.3505210928997236,0.04204580615791197,0.0,0.0,B2m,12010.0
67,ENSMUSG00000061232.17,52193.9695232015,2.8117789445627084,0.0573966215932167,0.0,0.0,H2-K1,14972.0
68,ENSMUSG00000063193.10,7844.225013361655,-2.363961908177211,0.04156824797581874,0.0,0.0,Cd300lb,217304.0
69,ENSMUSG00000066152.12,4127.559632739059,3.357716785810125,0.05960246155287509,0.0,0.0,Slc31a2,20530.0
70,ENSMUSG00000068129.6,1356.2372776408502,7.411776408336206,0.17246551959612766,0.0,0.0,Cst7,13011.0
71,ENSMUSG00000070031.12,2233.3845711845956,3.007163320691442,0.07862343883691832,0.0,0.0,Sp140,434484.0
72,ENSMUSG00000072620.4,14744.418291255774,2.798694983067383,0.07038276876157921,0.0,0.0,Slfn2,20556.0
73,ENSMUSG00000073409.13,1920.211267385187,5.0980575824914345,0.10091091214257172,0.0,0.0,H2-Q6,110557.0
74,ENSMUSG00000075010.6,3524.3792582293836,7.472988278383901,0.11072211940414953,0.0,0.0,AW112010,107350.0
75,ENSMUSG00000078763.3,1362.3712891763676,8.521418158262046,0.2237473666640756,0.0,0.0,Slfn1,20555.0
76,ENSMUSG00000079293.12,9377.620579197841,-2.937437844297374,0.07176925011509475,0.0,0.0,Clec7a,56644.0
77,ENSMUSG00000079339.8,2181.6906844439964,7.0178377562571175,0.17645096217718007,0.0,0.0,Ifit1bl1,667373.0
78,ENSMUSG00000091649.4,2775.732493860144,5.761960228959007,0.13720740466680398,0.0,0.0,Phf11b,236451.0
79,ENSMUSG00000035356.18,908.2816450489657,4.474769567762656,0.1196822587517607,5.866689587477459e-307,1.3230498948164356e-304,Nfkbiz,80859.0
80,ENSMUSG00000021133.10,6382.440166819067,1.8299332992008757,0.04911178185670801,1.0437944723234169e-304,2.3245302898642492e-302,Susd6,217684.0
81,ENSMUSG00000029177.10,917.9714232049201,-4.572059386466845,0.12281313428326174,2.0503141572709135e-304,4.509678645177604e-302,Cenpa,12615.0
82,ENSMUSG00000049502.18,3712.7507989765713,2.8129190296178908,0.07564591517367583,8.630043818206145e-304,1.8750348861604963e-301,Dtx3l,209200.0
83,ENSMUSG00000027955.17,2590.141996217363,-4.081113131103678,0.11003311886472036,2.038415971738412e-302,4.375472162950789e-300,Gask1b,68659.0
84,ENSMUSG00000054072.13,2642.170459751036,7.4526537219081535,0.2016626089490341,2.0596504771128046e-301,4.3684205833621106e-299,Iigp1,60440.0
85,ENSMUSG00000028832.12,1836.6482806232304,-5.052344534080044,0.13679087701013037,1.2457922645254175e-299,2.611180586445275e-297,Stmn1,16765.0
86,ENSMUSG00000028494.13,37134.90581873154,-2.782652068207223,0.0756809237741273,6.540924205274606e-297,1.3550361121066555e-294,Plin2,11520.0
87,ENSMUSG00000079419.5,11063.160787608027,3.0294859452964173,0.08246155959704617,2.0455506808662935e-296,4.188911601185504e-294,Ms4a6c,73656.0
88,ENSMUSG00000020671.10,8435.508360123384,1.4547879111029725,0.03959038577513075,5.395820582509734e-296,1.092408403386289e-293,Rab10,19325.0
89,ENSMUSG00000046031.8,1738.173916196187,4.836860356099363,0.1320850365145375,1.230980908362368e-294,2.464174816110556e-292,Calhm6,215900.0
90,ENSMUSG00000026896.15,4111.2576207026295,3.834133629816636,0.10502568961158415,4.600054463564434e-293,9.106063369207105e-291,Ifih1,71586.0
